通し番号	章	章内の通番	英単語	品詞	訳
171	R1	1	visa	名	査証、ビザ
172	R1	2	Lithuania	名	リトアニア
173	R1	3	outside	副	外側で[に/は]
174	R1	4	wife	名	妻
175	R1	5	Poland	名	ポーランド
176	R1	6	Jewish	形	ユダヤ人の
177	R1	7	escape	動	逃避する
178	R1	8	issue	動	発行する
179	R1	9	permission	名	許可
180	R1	10	refuse	動	断る
181	R1	11	foreign	形	外国の
182	R1	12	knew	■	knowの過去形
183	R1	13	risk	名	危険性
184	R1	14	short	形	短い
185	R1	15	silence	名	沈黙
186	R1	16	pass through ~	句	~を通りぬける
187	R1	17	ask for ~	句	~を求める
188	R1	18	wrote	■	write の過去形
189	R1	19	wheel	名	車輪
190	R1	20	fight	動	戦う、闘う
191	R1	21	telegram	名	電報
192	R1	22	platform	名	プラットフォーム
193	R1	23	even	副	~でさえ
194	R1	24	forgive	動	許す
195	R1	25	pray	動	祈る
196	R1	26	end	動	終える、終わる
197	R1	27	trader	名	貿易業者
198	R1	28	by hand	句	〈機械ではなく〉手で
199	R1	29	join hands	句	手を取り合う、協力する
200	R1	30	(even) as ~	句	~するとき(でさえ)も
201	R1	31	get on ~	句	~に乗る
202	R1	32	hand ~ out	句	~を手渡す
203	R1	33	with tears in one's eyes	句	目に涙をためて
204	R1	34	shouldn't	短	should not の短縮形
205	R1	35	diplomat	名	外交官
206	R1	36	forgotten	■	forget の過去分詞
207	R1	37	a piece of ~	句	1個 [枚]の~
208	YC1	1	uniform	名	制服
209	YC1	2	convenient	形	便利な
210	YC1	3	attractive	形	魅力的な
211	YC1	4	disagree	動	意見が合わない
212	YC1	5	Taiwan	名	台湾
213	YC1	6	health	名	健康
214	YC1	7	against	前	~に反対して
