通し番号	章	章内の通番	英単語	品詞	訳
215	U4	1	AI	名	人工知能
216	U4	2	device	名	装置、機器
217	U4	3	daily	形	毎日の
218	U4	4	lately	副	最近、近ごろ
219	U4	5	search	名	捜索、検索
220	U4	6	engine	名	発動機、内燃機関
221	U4	7	respond	動	応答する
222	U4	8	command	名	指令、命令
223	U4	9	common	形	共通した、一般的な、よくある
224	U4	10	robot	名	ロボット
225	U4	11	automatically	副	自動的に
226	U4	12	translation	名	翻訳
227	U4	13	software	名	ソフトウェア
228	U4	14	quite	副	かなり
229	U4	15	easily	副	簡単に
230	U4	16	a part of ~	句	~の一部
231	U4	17	in the near future	句	近い将来
232	U4	18	shape	動	形作る
233	U4	19	handy	形	使いやすい
234	U4	20	discussion	名	議論、話し合い
235	U4	21	customer	名	〈サービスを受ける〉客
236	U4	22	rely	動	頼りにする
237	U4	23	in my opinion	句	私の意見では
238	U4	24	rely on ~	句	~に頼る
239	U4	25	weekday	名	平日
240	U4	26	ahead	副	前に、先に
241	U4	27	broaden	動	広げる
242	U4	28	understanding	名	理解
243	U4	29	magic	形	魔法の
244	U4	30	carpet	名	カーペット
245	U4	31	cape	名	ケープ(袖のないマント)
246	U4	32	disappear	動	見えなくなる、消える
247	U4	33	somewhere	副	どこかに
248	U4	34	directly	副	直接的に
249	U4	35	hate	動	嫌う
250	U4	36	tool	名	道具
251	U4	37	translate	動	翻訳する
252	U4	38	too … to ~	句	〜するには…すぎる
253	U4	39	take time	句	時間がかかる
254	U4	40	not all ~	句	すべて~とは限らない
